bucket,type,name,link,srcUrl,stars,forks,commits,releases,contributors,openIssues,stackoverflowQuestions,language,description,excerpt
enlightenment-slope,server-web-framework,GWT,http://www.gwtproject.org/,https://github.com/gwtproject/gwt,338,73,8449,57,,0,18672,Java,GWT Open Source Project,a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web appl…
productivity-plateau,server-web-framework,Play,http://playframework.com/,https://github.com/playframework/playframework,6322,2219,6325,87,424,200,17876,Scala,Play Framework,a modern Java and Scala web application open-source framework that provides a clean alternative to bloated Enterprise Java stacks.
productivity-plateau,client-web-framework,BackboneJS,http://backbonejs.org/,https://github.com/jashkenas/backbone,21940,4896,3008,22,258,23,20058,JavaScript,"Give your JS App some Backbone with Models, Views, Collections, and Events",a JavaScript library that provides structure to RESTful web applications.
productivity-plateau,js-library,YUI,http://yuilibrary.com/,https://github.com/yui/yui3,2982,1014,25381,79,139,397,2067,JavaScript,A library for building richly interactive web applications.,"a set of utilities and controls, written with JavaScript and CSS, for building richly interactive web applications using techniques such as DOM scripting, DH…"
productivity-plateau,js-library,Dojo,https://dojotoolkit.org/,https://github.com/dojo/dojo,586,334,3754,165,,27,7847,JavaScript,The Dojo Toolkit core library. Please submit bugs to https://bugs.dojotoolkit.org/,"an open source modular JavaScript library designed to ease the rapid development of cross-platform, JavaScript/Ajax-based applications and web sites. It is dual-licensed under the BSD …"
productivity-plateau,client-web-framework,ExtJS,http://www.sencha.com/products/extjs/#overview,http://www.sencha.com/products/extjs/evaluate/,,,,,,,28043,js,,a JavaScript framework for building Rich Internet Applications (RIAs).
productivity-plateau,js-library,jQuery,http://jquery.com/,https://github.com/jquery/jquery,34598,8478,5829,127,224,110,616084,JavaScript,jQuery JavaScript Library,"a popular cross-browser JavaScript library that facilitates DOM (Document Object Model - HTML Structure) traversal, event handling, animations, and AJAX interactions by minimizing the discre…"
productivity-plateau,server-web-framework,Struts,http://struts.apache.org/,https://github.com/apache/struts,193,206,3960,70,13,2,13504,Java,Mirror of Apache Struts,a free open-source solution for creating Java web applications. This framework has reached End Of Life status as of 2013-04-05.
productivity-plateau,server-web-framework,Spring MVC,http://docs.spring.io/spring/docs/current/spring-framework-reference/html/mvc.html,https://github.com/spring-projects/spring-framework,5694,4797,10389,70,,80,26036,Java,The Spring Framework,"Based on the Model-View-Controller (MVC) pattern, Spring MVC helps you build web-based applications that are flexible and decoupled from the underlying view technologies."
productivity-plateau,server-web-framework,ASP.NET,http://www.asp.net/,https://github.com/aspnet/Mvc,1786,595,1752,7,53,206,452813,C#,"Model view controller framework for building dynamic web sites with clean separation of concerns, including the merged MVC, Web API, and Web Pages w/ Razor.","a Microsoft web application development framework that allows programmers to build dynamic web sites, web applications and web services. "
productivity-plateau,server-web-framework,Django,https://www.djangoproject.com/,https://github.com/django/django,14401,5727,20657,108,874,67,95798,Python,The Web framework for perfectionists with deadlines.,"an open source web application framework, written in Python. Django is designed to reduce the effort required to create complex database-driven websites."
productivity-plateau,server-web-framework,Rails,http://rubyonrails.org/,https://github.com/rails/rails,26289,10450,51433,259,2727,803,293270,Ruby,Ruby on Rails,"an open source full-stack web application framework written in Ruby. It follows the popular MVC framework model and is known for its ""convention over configuration"" approach to applic…"
enlightenment-slope,rwd-css-frameworks,Twitter Bootstrap,http://getbootstrap.com,https://github.com/twbs/bootstrap,81596,32441,11382,32,651,77,52166,CSS,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","a front-end framework from Twitter designed to kick-start development of Web apps and sites. Use ""twitter-bootstrap"" and NOT ""bootstrap"" to ask a question about this framework."
enlightenment-slope,rwd-css-frameworks,Foundation,http://foundation.zurb.com/,http://github.com/zurb/foundation,20155,4314,8552,92,688,79,3408,CSS,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,a cross-device CSS framework for building both prototypes and production code.
enlightenment-slope,rwd-css-frameworks,Skeleton,http://getskeleton.com/,https://github.com/dhg/Skeleton,8739,1488,167,6,24,54,110,CSS,"Skeleton: A Dead Simple, Responsive Boilerplate for Mobile-Friendly Development",A small collection of CSS files that can help to rapidly develop sites for any form factor on any device.
enlightenment-slope,css-authoring,Less,http://lesscss.org/,https://github.com/less/less.js,12325,2823,2443,42,182,196,4306,JavaScript,Leaner CSS,"an open-source stylesheet preprocessor that extends CSS with dynamic behavior such as variables, mixins, operations and functions. It's also a unix command to display a file."
enlightenment-slope,css-authoring,Sass,http://sass-lang.com/,https://github.com/sass/sass,5952,1229,5965,170,163,150,6349,Ruby,Sass makes CSS fun again.,"an extension of CSS adding features like nested rules, variables and mixins. This enables developers to write structured, manageable and reusable CSS. Sass …"
enlightenment-slope,css-authoring,Compass,http://compass-style.org/,https://github.com/Compass/compass,6292,1161,3533,143,202,356,2142,CSS,Compass is a Stylesheet Authoring Environment that makes your website design simpler to implement and easier to maintain.,a charityware authoring framework. It uses the SASS stylesheet language to create clean and reusable CSS3 code.
enlightenment-slope,css-authoring,Stylus,http://learnboost.github.io/stylus/,https://github.com/stylus/stylus,5732,786,3709,149,134,143,38125,JavaScript,"Expressive, robust, feature-rich CSS language built for nodejs","Expressive, robust, feature-rich CSS language built for Node.jsa pen-shaped instrument that is used to input commands to a computer screen, mobile device or graphics tablet."
enlightenment-slope,client-web-framework,SpineJS,http://spinejs.com,https://github.com/spine/spine,3043,392,897,21,71,32,179,JavaScript,Lightweight MVC library for building JavaScript applications,a lightweight framework for building JavaScript web applications.
tech-trigger,web-components,Brick,http://mozbrick.github.io/,https://github.com/mozbrick/brick,2856,216,683,20,18,30,2,JavaScript,UI Web Components for Modern Web Apps,A bundle of reusable UI components to enable rapid development of cross-browser and mobile-friendly HTML5 web applications
tech-trigger,web-components,Polymer,http://polymer-project.org/,https://github.com/Polymer/polymer,9941,934,2760,57,43,441,2573,HTML,Leverage the future of the web platform today.,"a new type of library for the web, built on top of Web Components, and designed to leverage the evolving web platform on modern browsers."
